TAM,T-FUERZA-BRUTA,T-BACKTRACKING,T-TOP-DOWN,T-BOTTOM-UP,SOLUCION,V,Pasos-BF,Pasos-BT,Pasos-TD,Pasos-BU
5,0.0383345,0.018493,0.0318435,0.042569,1,25,320,54,30,260
5,0.0351045,0.011745,0.090208,0.0281365,5,15,320,62,114,160
